# filmdec_pos_rosetta records=54799
eid,slot,bitCursor,x,y,z,sighex
1073742336,512,82,42.2793,8.5767,0.4779,11ba98e0c1c400435100a2559fdabf24
1073742339,515,302,43.6751,9.6048,0.5031,94ecefa12aebca186a20448002ab2055
1073742340,516,435,-3.3126,16.7185,-1.2180,8d2766b001398472c0b1f921a8815100
1073742341,517,581,-3.4508,16.1350,-1.2180,20644032056a50a26b021a941d1251c8
1073742342,518,671,-2.8289,15.0929,-1.2180,6b021a941d1251c886fffffffff91aa0
1073742336,512,82,42.2517,8.5628,0.4695,11ba98e0c1c400435100a2559fdabf24
1073742336,512,139,42.2517,8.5628,0.4695,df7c71e0d9ffa1c880512acfe21f8a1c
1073742339,515,359,43.6475,9.6048,0.5031,7677d09575e554391022400155902ad6
1073742340,516,492,-3.2711,16.7185,-1.2180,93b3580094b839e040fbd0e440a88064
1073742341,517,638,-3.4508,16.1350,-1.2180,0aa5a39cd6043910323001640ad7a13c
1073742342,518,734,-2.7874,15.0929,-1.2180,d60022058e6872507449472443ffffff
1073742336,512,139,42.2102,8.5489,0.4527,df7c71e0d9ffa1c880512acfe21f8a1c
1073742336,512,120,42.2102,8.5489,0.4527,e264a13ba846fb039f066ff50f440289
1073742339,515,340,43.6199,9.6048,0.5031,84abaf2ce1e88112000aac8157149c9a
1073742340,516,473,-3.2159,16.7185,-1.2180,c0048a31d10127d887a205440320552d
1073742341,517,619,-3.4370,16.1350,-1.2180,1ce6b021e88191800b2056dd09e6b001
1073742342,518,715,-2.7460,15.0791,-1.2180,102c75c3d283a24a39331fffffffff23
1073742336,512,120,42.1688,8.5350,0.4359,e264a13ba846fb039f066ff50f440289
1073742336,512,82,42.1688,8.5350,0.4359,11c7b8ecc173fa441100a2559f96bed4
1073742339,515,302,43.5784,9.6048,0.5031,94ecefa12aebcbb88220448002ab2055
1073742340,516,435,-3.1744,16.7046,-1.2180,dd2726b001195c74c00df4a208815100
1073742341,517,581,-3.4370,16.1350,-1.2180,20644032056f509a6b0220941d1251ca
1073742342,518,671,-2.6907,15.0791,-1.2180,6b0220941d1251ca20fffffffff91d00
1073742336,512,82,42.1273,8.5211,0.4107,11c7b8ecc173fa441100a2559f96bed4
1073742336,512,82,42.1273,8.5211,0.4107,11d0b4f1c133f7445100a2559f8f3eb4
1073742339,515,302,43.5508,9.6048,0.5031,94ecefa12aebcc388a20448002ab2055
1073742340,516,435,-3.1329,16.7046,-1.2180,fd26e6b00104b0757fcdf32228815100
1073742341,517,581,-3.4370,16.1350,-1.2180,20648002ab20570d0966b001102c73fe
1073742342,518,683,-2.6492,15.0652,-1.2180,0966b001102c73fe19fea22941d1251c
1073742336,512,82,42.0858,8.5072,0.3855,11d0b4f1c133f7445100a2559f8f3eb4
1073742336,512,82,42.0858,8.5072,0.3855,11d9acf7c0ebf4449100a2559f8ebeb4
1073742339,515,302,43.5231,9.6048,0.5031,94ecefa12aebccb89220448002ab2056
1073742340,516,435,-3.0777,16.6908,-1.2180,1526a6b000fb80757f89f12248815100
1073742341,517,581,-3.4232,16.1350,-1.2180,20648002ab2057250966b001102c74fe
1073742342,518,683,-2.6078,15.0513,-1.2180,0966b001102c74fe19fea24941d1251c
1073742336,512,82,42.0582,8.5072,0.3519,11d9acf7c0ebf4449100a2559f8ebeb4
1073742336,512,82,42.0582,8.5072,0.3519,11e2a8fdc0a3f144d100a2559f8e3eb4
1073742339,515,302,43.4817,9.6048,0.5031,94f4efa12aebcd289a20448002ab2056
1073742340,516,435,-3.0362,16.6769,-1.2180,2d2666b000f00475ff49efa268815100
1073742341,517,581,-3.4232,16.1350,-1.2180,20648002ab20573d0926b001102c757e
1073742342,518,683,-2.5663,15.0513,-1.2180,0926b001102c757e19fea26941d1251c
1073742336,512,82,42.0167,8.4933,0.3184,11e2a8fdc0a3f144d100a2559f8e3eb4
1073742336,512,82,42.0167,8.4933,0.3184,1215ed0bc02bec451101a30016417e29
1073742339,515,234,43.4402,9.6187,0.5031,4f4efa12aebcd98a220448002ab20564
1073742340,516,367,-2.9947,16.6630,-1.2180,d2626b000d6c0767f09ee2288815100c
1073742341,517,513,-3.4093,16.1489,-1.2180,0646002c815d74249ac0049361d9144a
1073742342,518,609,-2.5249,15.0374,-1.2180,9ac0049361d9144a0e8928e6217fffff
1073742336,512,82,41.9476,8.4794,0.2848,1215ed0bc02bec451101a30016417e29
1073742336,512,82,41.9476,8.4794,0.2848,1215ecf7c01bec455101a30016417df9
1073742339,515,234,43.3987,9.6187,0.5031,4f4efa12aebcde8aa20448002ab20566
1073742340,516,367,-2.9395,16.6491,-1.2180,525e6b000c214767ec5ec22a8815100c
1073742341,517,513,-3.4093,16.1489,-1.2180,0648002ab20577508e6b0011ba875fe1
1073742342,518,615,-2.4696,15.0374,-1.2180,8e6b0011ba875fe19fea2a941d1251cc
1073742336,512,82,41.9062,8.4655,0.2596,1215ecf7c01bec455101a30016417df9
1073742336,512,76,41.9062,8.4655,0.2596,832f3ba2c880d100c82fb929e9df48b2
1073742339,515,197,43.3573,9.6187,0.5031,20448002ab20567d2566b000afb4767e
1073742340,516,299,-2.8980,16.6352,-1.2180,2566b000afb4767e85eaa2c8815100c8
1073742341,517,445,-3.4093,16.1489,-1.2180,15514749ac08b220646002c815e34239
1073742342,518,541,-2.4281,15.0235,-1.2180,ac004dce1db164a0e8928e6aa7ffffff
1073742336,512,76,41.8647,8.4516,0.2344,832f3ba2c880d100c82fb929e9df48b2
1073742336,512,82,41.8647,8.4516,0.2344,120cbce2c01beb45d101a3019a817d99
1073742339,515,234,43.3158,9.6187,0.5031,4f4efa45c4e20448002ab20569524e6b
1073742340,516,343,-2.8565,16.6074,-1.2180,0009b08767e51e922e8815100c815514
1073742341,517,489,-3.3955,16.1489,-1.2180,749ac08ba20646002c815eb4239ac004
1073742342,518,585,-2.3867,15.0235,-1.2180,d3b1e1174a0e8928e6ee7ffffffffc91
1073742336,512,82,41.8233,8.4516,0.2176,120cbce2c01beb45d101a3019a817d99
1073742336,512,181,41.8233,8.4516,0.2176,db2499d60241049b91844068806417d5
1073742339,515,302,43.2744,9.6187,0.5031,94f4efa4611022400155902b56925358
1073742340,516,404,-2.8151,16.5796,-1.2180,0044543b7f12f4118440a880640aa9a3
1073742341,517,550,-3.3955,16.1489,-1.2180,a4d6046110323001640af9a114d60024
1073742342,518,646,-2.3314,15.0235,-1.2180,e48ee8c2507449473993ffffffffe48e
1073742336,512,181,41.7818,8.4377,0.1924,db2499d60241049b91844068806417d5
