col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
24,24,12.250,12.250,0,1,0.000,0.000,1,5,6,800.000,3300.000,0.000,0.000,0,-0.955,-0.296,1,0.000,1.000,0,0,0,0
24,25,12.250,12.750,0,1,0.000,0.000,1,5,6,1200.000,2700.000,0.000,0.000,0,-0.916,0.402,1,0.000,1.391,0,1,0,1
24,26,12.250,13.250,0,0,0.000,0.000,0,5,5,1000.000,2000.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
24,27,12.250,13.750,0,0,0.000,0.000,0,5,5,1500.000,1200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
24,28,12.250,14.250,0,0,0.000,0.000,0,5,5,400.000,1800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
24,29,12.250,14.750,0,0,0.000,0.000,0,5,5,700.000,1800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
24,30,12.250,15.250,0,0,0.000,0.000,0,5,5,300.000,2600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
24,31,12.250,15.750,0,0,0.000,0.000,0,3,3,100.000,1600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
25,-26,12.750,-12.750,1,2,2.027,0.009,3,3,6,1400.000,400.000,0.553,0.833,1,0.331,1.965,2,1.000,2.000,0,0,0,0
25,-25,12.750,-12.250,1,5,4.457,0.292,6,4,10,2900.000,2700.000,-0.910,0.415,1,-1.149,4.440,5,1.459,6.028,1,3,1,3
25,-24,12.750,-11.750,0,1,0.000,0.000,1,5,6,1400.000,3600.000,0.000,0.000,0,-0.985,0.171,1,0.000,1.000,0,0,0,0
25,-23,12.750,-11.250,2,0,14.246,1.645,2,5,5,3100.000,1100.000,-1.989,0.187,2,0.000,0.000,0,2.500,0.000,1,0,1,0
25,-22,12.750,-10.750,3,0,8.863,1.026,3,5,8,2800.000,2700.000,-2.868,0.578,3,0.000,0.000,0,3.367,0.000,1,0,1,0
25,-21,12.750,-10.250,5,6,0.256,-0.044,5,5,8,2200.000,2300.000,2.322,1.905,5,0.331,0.301,6,5.000,6.459,0,1,0,1
