col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
48,-1,24.250,-0.250,1,1,3.867,-0.137,2,3,5,0.000,700.000,-0.203,0.979,1,-0.962,-0.274,1,1.000,1.482,0,1,0,1
48,0,24.250,0.250,1,2,6.642,1.816,3,3,6,700.000,400.000,-0.942,-0.337,1,-1.988,-0.077,2,1.155,2.000,1,0,1,0
48,1,24.250,0.750,0,0,0.000,0.000,0,3,3,600.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
48,2,24.250,1.250,1,2,5.598,1.053,3,2,5,300.000,0.000,-0.622,0.783,1,0.052,1.888,2,1.000,2.000,0,0,0,0
48,3,24.250,1.750,4,7,5.785,0.053,10,6,15,2600.000,2400.000,-1.250,-2.151,4,-4.885,-0.266,7,4.735,7.469,2,2,2,1
48,4,24.250,2.250,5,7,2.613,0.031,11,6,16,7600.000,3200.000,-3.291,2.039,5,-2.660,-0.496,7,6.760,9.441,5,5,4,5
48,5,24.250,2.750,11,4,7.375,0.031,13,6,18,5500.000,6600.000,-3.543,-0.802,11,-2.002,2.350,4,12.960,4.500,5,1,5,1
48,6,24.250,3.250,4,6,3.942,-0.114,10,6,16,9500.000,6900.000,0.124,-1.114,4,-0.055,-2.644,6,4.000,7.403,0,3,0,3
48,7,24.250,3.750,4,7,5.860,0.046,11,6,17,14600.000,9100.000,-1.556,0.151,4,-3.414,-2.916,7,4.805,7.537,2,2,2,1
48,8,24.250,4.250,3,0,6.586,-0.031,3,6,9,1500.000,1600.000,0.285,1.258,3,0.000,0.000,0,3.500,0.000,1,0,1,0
48,9,24.250,4.750,0,0,0.000,0.000,0,1,1,200.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
48,12,24.250,6.250,0,1,0.000,0.000,1,3,3,400.000,300.000,0.000,0.000,0,-0.732,0.681,1,0.000,1.491,0,1,0,1
48,13,24.250,6.750,2,0,3.681,0.069,2,6,8,700.000,1200.000,-1.076,1.023,2,0.000,0.000,0,2.000,0.000,0,0,0,0
48,14,24.250,7.250,1,0,18.408,0.015,1,6,7,2300.000,1900.000,-0.685,-0.728,1,0.000,0.000,0,1.500,0.000,1,0,1,0
48,15,24.250,7.750,1,2,14.036,-1.083,3,6,9,3300.000,2900.000,-0.998,0.062,1,0.356,-0.272,2,1.000,2.500,0,1,0,1
48,16,24.250,8.250,3,2,7.081,0.000,5,6,11,3200.000,2500.000,-2.329,-1.196,3,-0.476,1.276,2,2.889,2.500,1,1,0,1
48,17,24.250,8.750,4,2,3.826,0.305,6,6,12,3600.000,2600.000,-1.003,-0.788,4,-1.829,0.699,2,3.777,2.000,1,0,0,0
48,18,24.250,9.250,0,3,0.000,0.000,3,4,7,1500.000,1500.000,0.000,0.000,0,-2.104,1.623,3,0.000,4.000,0,2,0,2
48,19,24.250,9.750,1,2,5.726,0.000,3,5,8,1500.000,2100.000,-0.662,0.749,1,-1.435,-0.681,2,1.000,2.285,0,1,0,1
48,20,24.250,10.250,7,3,4.857,0.015,10,6,16,1700.000,900.000,-5.311,1.127,7,-0.939,-2.808,3,7.000,2.777,0,1,0,0
48,21,24.250,10.750,1,3,3.993,-0.641,3,3,6,200.000,1400.000,-0.433,0.901,1,-2.361,-1.294,3,1.000,3.000,0,0,0,0
48,22,24.250,11.250,0,0,0.000,0.000,0,4,4,600.000,1200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
48,23,24.250,11.750,2,0,6.293,-0.450,2,5,7,1000.000,1600.000,-0.912,-1.594,2,0.000,0.000,0,2.000,0.000,0,0,0,0
48,24,24.250,12.250,1,1,5.602,-0.961,2,5,7,300.000,700.000,-0.483,-0.876,1,-0.122,-0.993,1,1.000,1.000,0,0,0,0
48,25,24.250,12.750,0,1,0.000,0.000,1,4,5,200.000,400.000,0.000,0.000,0,-0.183,-0.983,1,0.000,1.000,0,0,0,0
48,26,24.250,13.250,1,2,3.961,2.960,3,3,6,200.000,1600.000,0.316,-0.949,1,-1.469,-0.141,2,1.000,2.000,0,0,0,0
48,27,24.250,13.750,1,1,6.190,1.465,2,2,4,200.000,1000.000,-0.886,0.464,1,-0.635,-0.772,1,1.000,1.000,0,0,0,0
