film	no_scope	counter_snipe	snipe	instants_no_scope_ms	instants_counter_ms
6cf63ce9	2	0	0	244731,248786	-
6d07c363	19	40	46	125529,127431,136039,151290,160698,190127,250922,285456,293399,312652,366072,375848,398705,417525,427200,481621,501441,526269,538145	67106,87324,94168,106479,111551,162402,170977,178082,186057,191295,211283,219253,231733,233675,242347,251820,267205,278386,281887,346720,355594,374981,388391,394331,397938,441116,443283,451425,457130,467171,473780,481552,481989,496239,497572,509416,531138,532473,535942,540414
6d1c7363	3	0	2	112155,175909,397579	-
6d49207d	1	0	5	236892	-
6d714530	0	1	3	-	411393
6d7c93b3	1	0	1	348020	-
6dd234b2	3	1	3	91331,162870,527149	391575
6e25fd0a	3	0	0	349339,362502,370827	-
6e4ac60a	1	0	0	64845	-
6e88b9a0	2	0	1	282177,384850	-
6ee59440	1	0	11	443699	-
6efac636	2	0	3	101421,404678	-
6effe27b	4	0	1	120099,144273,152987,284308	-
6f08f90a	3	0	10	275540,293325,366733	-
6fe87881	5	0	7	49421,334659,336761,407982,577619	-
70726b0e	1	0	3	326404	-
70b187b1	3	0	2	374933,550960,592252	-
7120a62e	1	0	0	430725	-
7162b2c7	3	0	3	289709,306476,606226	-
71aec175	4	0	2	336674,348970,372910,461249	-
73284037	6	0	1	69989,209229,217637,226580,234855,379553	-
736256f1	0	1	1	-	138690
73722e0a	1	0	1	144907	-
73839c9c	0	1	0	-	500458
73858d05	2	0	0	202641,414040	-
740224d0	2	0	11	973135,1010503	-
7482e583	7	0	2	120191,146535,190246,235576,344467,377050,383524	-
74fd5395	2	0	0	430627,529055	-
75114680	2	0	13	239312,670434	-
75c9c172	1	0	0	122680	-
75f1188f	1	0	6	147464	-
760070bd	1	0	4	442689	-
762c276c	1	0	4	312621	-
76e6623c	1	0	2	284580	-
78315425	1	0	0	116563	-
78316937	2	0	1	110283,315759	-
7863ad21	2	0	0	104327,120027	-
789a0aa0	4	0	1	59757,90505,110042,117048	-
78d7affc	2	0	2	85571,263600	-
7925be56	6	0	2	125476,215566,220806,222557,253939,260144	-
795c7f1e	2	0	0	397039,442768	-
799fdf49	1	0	3	90686	-
79a37f53	1	0	0	400489	-
7aa132d1	1	1	23	706656	182691
7aa70d93	3	0	2	127273,252332,271001	-
7b5976c8	1	0	0	317118	-
7b60cff5	2	0	4	124681,353740	-
7c8de5a2	6	0	0	149202,188578,315436,320274,387125,404257	-
7ce7e0fd	2	0	0	190582,382582	-
7d9bfcdb	1	1	9	119029	397730
7da08030	5	0	1	144015,170459,212300,259731,387643	-
7da6e3f0	1	0	0	423855	-
7e91de02	1	0	0	96929	-
7ef0affe	1	0	1	228286	-
7f684989	1	0	0	355127	-
7fa0e638	3	0	0	75046,157379,157864	-
7fce3219	2	0	8	805831,890949	-
7ff4271a	3	1	4	68760,104346,779050	663933
80b66176	2	0	0	81715,88804	-
81019bcb	1	0	7	256083	-
8112ebde	2	0	2	64199,278966	-
8169f7f3	6	0	1	162478,282950,290541,324643,334452,370172	-
816e1d51	1	0	1	144347	-
8277ff2e	3	0	0	84224,139886,346985	-
829abef9	1	0	6	436955	-
82f3af9f	9	0	1	163618,226048,247586,249988,264671,279735,326999,334356,396069	-
83079aa2	0	1	4	-	447754
835c6da5	2	0	1	41159,389675	-
83af10e5	3	0	0	308810,321430,324299	-
83fe35b3	1	0	0	50268	-
84383fc1	1	0	1	53112	-
84c6dd42	3	0	4	116939,489414,490099	-
84d6b625	1	0	0	241770	-
8547930b	5	0	0	43509,48730,211411,407824,487656	-
8564a33f	1	0	2	521463	-
85fed352	2	0	0	287073,346082	-
86f7331f	4	0	1	229739,244304,287581,311988	-
8778233d	2	0	0	173053,314814	-
879a4dba	1	0	9	108626	-
8805832c	1	1	15	50104	73028
882ec5c9	1	0	0	250250	-
885b158a	3	0	2	273077,535457,608680	-
88678307	1	0	1	67176	-
887afb63	3	0	0	92378,338399,346575	-
88b6090b	2	0	0	72776,163227	-
89526bb4	3	0	1	317425,322229,401741	-
895edeba	1	0	1	445675	-
896d42e8	2	0	0	468024,475047	-
89f86fe4	2	0	4	573768,607936	-
