pitch_raw	compte	part
1038	413	0.005358
1039	403	0.005228
1040	388	0.005034
1041	302	0.003918
1042	333	0.004320
1043	331	0.004294
1044	424	0.005501
1045	329	0.004268
1046	285	0.003697
1047	226	0.002932
1048	215	0.002789
1049	239	0.003101
1050	232	0.003010
1051	248	0.003217
1052	197	0.002556
1053	193	0.002504
1054	226	0.002932
1055	220	0.002854
1056	205	0.002659
1057	274	0.003555
1058	218	0.002828
1059	229	0.002971
1060	166	0.002154
1061	196	0.002543
1062	178	0.002309
1063	186	0.002413
1064	187	0.002426
1065	143	0.001855
1066	172	0.002231
1067	191	0.002478
1068	155	0.002011
1069	214	0.002776
1070	195	0.002530
1071	156	0.002024
1072	158	0.002050
1073	171	0.002218
1074	182	0.002361
1075	161	0.002089
1076	149	0.001933
1077	169	0.002192
1078	154	0.001998
1079	148	0.001920
1080	132	0.001712
1081	185	0.002400
1082	133	0.001725
1083	155	0.002011
1084	141	0.001829
1085	148	0.001920
1086	121	0.001570
1087	135	0.001751
1088	154	0.001998
1089	146	0.001894
1090	155	0.002011
1091	164	0.002128
1092	125	0.001622
1093	98	0.001271
1094	131	0.001699
1095	119	0.001544
1096	132	0.001712
1097	146	0.001894
1098	134	0.001738
1099	133	0.001725
1100	80	0.001038
1101	63	0.000817
1102	93	0.001206
1103	92	0.001194
1104	132	0.001712
1105	95	0.001232
1106	67	0.000869
1107	54	0.000701
1108	56	0.000726
1109	53	0.000688
1110	70	0.000908
1111	61	0.000791
1112	42	0.000545
1113	61	0.000791
1114	57	0.000739
1115	82	0.001064
1116	63	0.000817
1117	66	0.000856
1118	84	0.001090
1119	90	0.001168
1120	65	0.000843
1121	47	0.000610
1122	46	0.000597
1123	63	0.000817
1124	49	0.000636
1125	44	0.000571
1126	33	0.000428
1127	39	0.000506
1128	36	0.000467
1129	45	0.000584
1130	40	0.000519
1131	52	0.000675
1132	39	0.000506
1133	38	0.000493
1134	41	0.000532
1135	39	0.000506
1136	26	0.000337
1137	52	0.000675
1138	42	0.000545
1139	31	0.000402
1140	39	0.000506
1141	22	0.000285
1142	19	0.000246
1143	17	0.000221
1144	30	0.000389
1145	21	0.000272
1146	18	0.000234
1147	17	0.000221
1148	23	0.000298
1149	26	0.000337
1150	23	0.000298
1151	24	0.000311
1152	12	0.000156
1153	21	0.000272
1154	9	0.000117
1155	14	0.000182
1156	14	0.000182
1157	16	0.000208
1158	19	0.000246
1159	9	0.000117
1160	11	0.000143
1161	8	0.000104
1162	13	0.000169
1163	8	0.000104
1164	7	0.000091
1165	15	0.000195
1166	17	0.000221
1167	12	0.000156
1168	13	0.000169
1169	9	0.000117
1170	11	0.000143
1171	16	0.000208
1172	12	0.000156
1173	12	0.000156
1174	16	0.000208
1175	9	0.000117
1176	16	0.000208
1177	9	0.000117
1178	13	0.000169
1179	19	0.000246
1180	9	0.000117
1181	13	0.000169
1182	13	0.000169
1183	17	0.000221
1184	13	0.000169
1185	10	0.000130
1186	11	0.000143
1187	13	0.000169
1188	14	0.000182
1189	9	0.000117
1190	14	0.000182
1191	10	0.000130
1192	9	0.000117
1193	1	0.000013
1194	8	0.000104
1195	18	0.000234
1196	9	0.000117
1197	11	0.000143
1198	7	0.000091
1199	6	0.000078
1200	7	0.000091
1201	10	0.000130
1202	7	0.000091
1203	6	0.000078
1204	7	0.000091
1205	6	0.000078
1206	7	0.000091
1207	13	0.000169
1208	8	0.000104
1209	6	0.000078
1210	5	0.000065
1211	6	0.000078
1212	3	0.000039
1213	4	0.000052
1214	6	0.000078
1215	9	0.000117
1216	8	0.000104
1217	6	0.000078
1218	8	0.000104
1219	6	0.000078
1220	16	0.000208
1221	8	0.000104
1222	10	0.000130
1223	7	0.000091
1224	6	0.000078
1225	6	0.000078
1226	5	0.000065
1227	12	0.000156
1228	13	0.000169
1229	11	0.000143
1230	8	0.000104
1231	12	0.000156
1232	8	0.000104
1233	3	0.000039
1234	6	0.000078
1235	1	0.000013
