pitch_raw	compte	part
1276	2	0.000018
1277	6	0.000053
1278	3	0.000027
1279	2	0.000018
1280	4	0.000035
1281	3	0.000027
1282	2	0.000018
1283	7	0.000062
1284	5	0.000044
1285	3	0.000027
1286	2	0.000018
1287	7	0.000062
1288	2	0.000018
1289	1	0.000009
1290	1	0.000009
1291	6	0.000053
1292	3	0.000027
1293	2	0.000018
1294	17	0.000150
1295	1	0.000009
1296	2	0.000018
1297	9	0.000080
1298	2	0.000018
1299	3	0.000027
1300	2	0.000018
1301	2	0.000018
1304	1	0.000009
1305	1	0.000009
1306	2	0.000018
1308	1	0.000009
1309	1	0.000009
1310	2	0.000018
1312	2	0.000018
1313	2	0.000018
1314	3	0.000027
1315	2	0.000018
1316	3	0.000027
1317	2	0.000018
1318	6	0.000053
1319	10	0.000088
1322	1	0.000009
1324	1	0.000009
1326	1	0.000009
1328	1	0.000009
1330	1	0.000009
1333	1	0.000009
1335	1	0.000009
1338	1	0.000009
1347	1	0.000009
1348	1	0.000009
1354	1	0.000009
1361	1	0.000009
1367	1	0.000009
1373	1	0.000009
1378	1	0.000009
1381	1	0.000009
1390	1	0.000009
1400	1	0.000009
1404	1	0.000009
1410	1	0.000009
1417	1	0.000009
1422	1	0.000009
1426	1	0.000009
1430	1	0.000009
1433	1	0.000009
1440	1	0.000009
1446	1	0.000009
1448	1	0.000009
1452	1	0.000009
1457	1	0.000009
1458	1	0.000009
1461	1	0.000009
1466	1	0.000009
1473	1	0.000009
1478	1	0.000009
1479	1	0.000009
1481	1	0.000009
1483	1	0.000009
1485	1	0.000009
1487	1	0.000009
1488	1	0.000009
1490	2	0.000018
