# lot C-ter volet 1 — CT.1.1 — film 0a247154 — resume par (slot, mode, tag), calcule sur les lectures CHAINEES ; non_chainees = lectures ecartees ; bande = 1 stricte
slot	bande	mode	tag	emissions	avec_valeur	non_chainees	distinctes	changements	joueurs	t_ms_premiere	t_ms_derniere	frame_premiere	frame_derniere	valeurs_top4
1574	0	B	0	0	0	11	0	0	0	0	0	-1	-1	
1574	0	B	1	0	0	7	0	0	0	0	0	-1	-1	
1574	0	B	2	0	0	8	0	0	0	0	0	-1	-1	
1574	0	B	3	0	0	1	0	0	0	0	0	-1	-1	
1574	0	B	4	0	0	1	0	0	0	0	0	-1	-1	
1574	0	B	5	0	0	4	0	0	0	0	0	-1	-1	
1574	0	B	6	0	0	2	0	0	0	0	0	-1	-1	
1574	0	B	7	0	0	2	0	0	0	0	0	-1	-1	
1574	0	B	8	1	1	5	1	0	1	733884	733884	7246	7246	0x2595C905 x1
1574	0	B	9	0	0	4	0	0	0	0	0	-1	-1	
1574	0	B	10	1	1	2	1	0	1	109736	109736	1005	1005	0x00000000 x1
1574	0	B	11	1	1	1	1	0	1	733884	733884	7246	7246	0x00000000 x1
1574	0	B	12	0	0	2	0	0	0	0	0	-1	-1	
1574	0	B	13	0	0	3	0	0	0	0	0	-1	-1	
1574	0	B	14	0	0	2	0	0	0	0	0	-1	-1	
1574	0	B	15	0	0	1	0	0	0	0	0	-1	-1	
1576	0	A	1	0	0	11	0	0	0	0	0	-1	-1	
1576	0	A	2	0	0	1	0	0	0	0	0	-1	-1	
1576	0	A	3	1	1	0	1	0	1	212640	212640	2034	2034	0x00519115 x1
1576	0	A	8	0	0	173	0	0	0	0	0	-1	-1	
1576	0	A	11	0	0	1	0	0	0	0	0	-1	-1	
1576	0	A	13	0	0	2	0	0	0	0	0	-1	-1	
1576	0	B	0	2	0	65	0	0	1	231375	235129	2221	2259	
1576	0	B	1	0	0	9	0	0	0	0	0	-1	-1	
1576	0	B	2	0	0	2	0	0	0	0	0	-1	-1	
1576	0	B	3	0	0	3	0	0	0	0	0	-1	-1	
1576	0	B	4	1	0	23	0	0	1	768020	768020	7588	7588	
1576	0	B	5	0	0	9	0	0	0	0	0	-1	-1	
1576	0	B	6	0	0	4	0	0	0	0	0	-1	-1	
1576	0	B	7	0	0	4	0	0	0	0	0	-1	-1	
1576	0	B	8	0	0	6	0	0	0	0	0	-1	-1	
1576	0	B	9	0	0	4	0	0	0	0	0	-1	-1	
1576	0	B	10	0	0	3	0	0	0	0	0	-1	-1	
1576	0	B	11	0	0	1	0	0	0	0	0	-1	-1	
1576	0	B	12	0	0	3	0	0	0	0	0	-1	-1	
1576	0	B	13	0	0	8	0	0	0	0	0	-1	-1	
1576	0	B	14	0	0	5	0	0	0	0	0	-1	-1	
1576	0	B	15	0	0	3	0	0	0	0	0	-1	-1	
1577	0	A	0	0	0	1	0	0	0	0	0	-1	-1	
1577	0	A	5	0	0	1	0	0	0	0	0	-1	-1	
1577	0	B	0	0	0	8	0	0	0	0	0	-1	-1	
1577	0	B	2	0	0	4	0	0	0	0	0	-1	-1	
1577	0	B	3	0	0	3	0	0	0	0	0	-1	-1	
1577	0	B	4	0	0	4	0	0	0	0	0	-1	-1	
1577	0	B	5	0	0	6	0	0	0	0	0	-1	-1	
1577	0	B	6	4	0	2	0	0	1	261355	289867	2521	2806	
1577	0	B	8	0	0	3	0	0	0	0	0	-1	-1	
1577	0	B	10	0	0	3	0	0	0	0	0	-1	-1	
1577	0	B	14	0	0	1	0	0	0	0	0	-1	-1	
1586	0	A	0	0	0	2	0	0	0	0	0	-1	-1	
1586	0	A	4	0	0	2	0	0	0	0	0	-1	-1	
1586	0	A	14	0	0	1	0	0	0	0	0	-1	-1	
1586	0	B	0	0	0	5	0	0	0	0	0	-1	-1	
1586	0	B	1	0	0	3	0	0	0	0	0	-1	-1	
1586	0	B	2	0	0	4	0	0	0	0	0	-1	-1	
1586	0	B	4	0	0	9	0	0	0	0	0	-1	-1	
1586	0	B	5	0	0	1	0	0	0	0	0	-1	-1	
1586	0	B	6	0	0	4	0	0	0	0	0	-1	-1	
1586	0	B	7	0	0	3	0	0	0	0	0	-1	-1	
1586	0	B	8	0	0	1	0	0	0	0	0	-1	-1	
1586	0	B	9	0	0	2	0	0	0	0	0	-1	-1	
1586	0	B	10	0	0	1	0	0	0	0	0	-1	-1	
1586	0	B	13	0	0	2	0	0	0	0	0	-1	-1	
1586	0	B	14	0	0	3	0	0	0	0	0	-1	-1	
1587	0	A	0	0	0	2	0	0	0	0	0	-1	-1	
1587	0	A	5	0	0	2	0	0	0	0	0	-1	-1	
1587	0	A	13	0	0	1	0	0	0	0	0	-1	-1	
1587	0	B	0	0	0	2	0	0	0	0	0	-1	-1	
1587	0	B	1	0	0	1	0	0	0	0	0	-1	-1	
1587	0	B	2	0	0	5	0	0	0	0	0	-1	-1	
1587	0	B	4	0	0	5	0	0	0	0	0	-1	-1	
1587	0	B	5	0	0	4	0	0	0	0	0	-1	-1	
1587	0	B	6	0	0	5	0	0	0	0	0	-1	-1	
1587	0	B	7	0	0	1	0	0	0	0	0	-1	-1	
1587	0	B	8	0	0	4	0	0	0	0	0	-1	-1	
1587	0	B	9	0	0	2	0	0	0	0	0	-1	-1	
1587	0	B	10	0	0	1	0	0	0	0	0	-1	-1	
1587	0	B	11	0	0	2	0	0	0	0	0	-1	-1	
1587	0	B	15	0	0	2	0	0	0	0	0	-1	-1	
1589	0	A	1	0	0	1	0	0	0	0	0	-1	-1	
1589	0	A	9	0	0	1	0	0	0	0	0	-1	-1	
1589	0	A	10	0	0	1	0	0	0	0	0	-1	-1	
1589	0	B	0	0	0	2	0	0	0	0	0	-1	-1	
