# lot C-ter volet 1 — CT.1.1 — film 606d9844 — resume par (slot, mode, tag), calcule sur les lectures CHAINEES ; non_chainees = lectures ecartees ; bande = 1 stricte
slot	bande	mode	tag	emissions	avec_valeur	non_chainees	distinctes	changements	joueurs	t_ms_premiere	t_ms_derniere	frame_premiere	frame_derniere	valeurs_top4
1458	0	B	8	0	0	3	0	0	0	0	0	-1	-1	
1458	0	B	10	0	0	1	0	0	0	0	0	-1	-1	
1458	0	B	11	0	0	1	0	0	0	0	0	-1	-1	
1458	0	B	13	0	0	1	0	0	0	0	0	-1	-1	
1458	0	B	15	0	0	1	0	0	0	0	0	-1	-1	
1459	0	A	8	0	0	1	0	0	0	0	0	-1	-1	
1459	0	B	0	0	0	10	0	0	0	0	0	-1	-1	
1459	0	B	2	0	0	2	0	0	0	0	0	-1	-1	
1459	0	B	3	0	0	1	0	0	0	0	0	-1	-1	
1459	0	B	4	0	0	4	0	0	0	0	0	-1	-1	
1459	0	B	6	0	0	2	0	0	0	0	0	-1	-1	
1459	0	B	8	0	0	1	0	0	0	0	0	-1	-1	
1459	0	B	9	0	0	1	0	0	0	0	0	-1	-1	
1459	0	B	15	0	0	1	0	0	0	0	0	-1	-1	
1460	0	A	10	0	0	1	0	0	0	0	0	-1	-1	
1460	0	B	0	0	0	2	0	0	0	0	0	-1	-1	
1460	0	B	1	0	0	1	0	0	0	0	0	-1	-1	
1460	0	B	2	0	0	3	0	0	0	0	0	-1	-1	
1460	0	B	3	0	0	1	0	0	0	0	0	-1	-1	
1460	0	B	6	0	0	1	0	0	0	0	0	-1	-1	
1460	0	B	8	0	0	1	0	0	0	0	0	-1	-1	
1460	0	B	10	0	0	1	0	0	0	0	0	-1	-1	
1460	0	B	12	0	0	1	0	0	0	0	0	-1	-1	
1460	0	B	14	0	0	2	0	0	0	0	0	-1	-1	
1462	0	A	6	0	0	1	0	0	0	0	0	-1	-1	
1462	0	A	8	0	0	1	0	0	0	0	0	-1	-1	
1462	0	B	0	0	0	4	0	0	0	0	0	-1	-1	
1462	0	B	2	0	0	1	0	0	0	0	0	-1	-1	
1462	0	B	4	0	0	1	0	0	0	0	0	-1	-1	
1462	0	B	6	0	0	3	0	0	0	0	0	-1	-1	
1462	0	B	8	0	0	5	0	0	0	0	0	-1	-1	
1462	0	B	9	0	0	1	0	0	0	0	0	-1	-1	
1462	0	B	10	0	0	2	0	0	0	0	0	-1	-1	
1462	0	B	12	0	0	2	0	0	0	0	0	-1	-1	
1462	0	B	14	0	0	1	0	0	0	0	0	-1	-1	
1462	0	B	15	0	0	2	0	0	0	0	0	-1	-1	
1463	0	A	10	0	0	1	0	0	0	0	0	-1	-1	
1463	0	B	0	0	0	1	0	0	0	0	0	-1	-1	
1463	0	B	3	2	0	1	0	0	1	82363	82379	754	754	
1463	0	B	6	0	0	1	0	0	0	0	0	-1	-1	
1463	0	B	8	2	2	2	2	1	1	82363	82379	754	754	0x06FB3020 x1 0x06FD3020 x1
1463	0	B	10	1	1	1	1	0	1	87335	87335	804	804	0x00000000 x1
1464	0	B	0	0	0	4	0	0	0	0	0	-1	-1	
1464	0	B	2	0	0	1	0	0	0	0	0	-1	-1	
1464	0	B	3	0	0	1	0	0	0	0	0	-1	-1	
1464	0	B	4	0	0	2	0	0	0	0	0	-1	-1	
1464	0	B	6	0	0	3	0	0	0	0	0	-1	-1	
1464	0	B	8	0	0	2	0	0	0	0	0	-1	-1	
1464	0	B	10	0	0	2	0	0	0	0	0	-1	-1	
1464	0	B	11	0	0	3	0	0	0	0	0	-1	-1	
1466	0	A	3	0	0	1	0	0	0	0	0	-1	-1	
1466	0	B	0	0	0	1	0	0	0	0	0	-1	-1	
1466	0	B	1	0	0	1	0	0	0	0	0	-1	-1	
1466	0	B	4	0	0	1	0	0	0	0	0	-1	-1	
1466	0	B	6	0	0	4	0	0	0	0	0	-1	-1	
1466	0	B	7	0	0	1	0	0	0	0	0	-1	-1	
1466	0	B	8	0	0	3	0	0	0	0	0	-1	-1	
1466	0	B	9	0	0	2	0	0	0	0	0	-1	-1	
1466	0	B	10	0	0	1	0	0	0	0	0	-1	-1	
1466	0	B	14	0	0	1	0	0	0	0	0	-1	-1	
1467	0	A	8	0	0	2	0	0	0	0	0	-1	-1	
1467	0	B	0	0	0	6	0	0	0	0	0	-1	-1	
