ti	i	composant	statut	annonces_total	films_presents	annonces_max_film	exces_max	7344d24f	696a9d7c	0a247154	01e1f945	606d9844	8076f97f	64e8adfa	530820e5	53ce4390	24dbb67d	000d5950	
13	39	(hors grammaire)	hors_grammaire	419	11	103	2.7	49	28	37	15	41	60	103	13	29	33	11
13	28	managed-object-player-masked-property-component	non_porte	413	11	122	1.7	44	29	39	25	25	44	122	12	32	32	9
13	43	(hors grammaire)	hors_grammaire	413	11	106	0.9	59	58	34	19	6	65	106	15	25	22	4
12	37	(hors grammaire)	hors_grammaire	410	11	111	1.0	111	8	69	23	3	20	93	32	32	11	8
47	63	(hors grammaire)	hors_grammaire	408	11	240	17.8	6	3	9	20	7	9	12	9	90	3	240
13	35	(hors grammaire)	hors_grammaire	394	11	103	1.0	41	64	35	19	8	57	103	14	28	14	11
47	47	(hors grammaire)	hors_grammaire	391	11	113	4.9	11	10	24	113	1	8	108	86	26	2	2
13	44	(hors grammaire)	hors_grammaire	382	11	76	0.8	69	29	29	17	6	58	76	19	39	32	8
13	37	(hors grammaire)	hors_grammaire	376	11	80	1.0	45	37	25	21	9	66	80	13	38	31	11
47	12	(hors grammaire)	hors_grammaire	361	11	98	2.6	18	20	39	50	8	17	55	24	98	18	14
47	22	(hors grammaire)	hors_grammaire	357	11	198	14.7	13	15	44	17	3	9	10	16	21	11	198
47	53	(hors grammaire)	hors_grammaire	345	11	128	9.5	16	16	20	11	3	13	19	8	106	5	128
47	57	(hors grammaire)	hors_grammaire	323	11	125	9.3	4	12	13	56	4	14	24	18	44	9	125
47	9	(hors grammaire)	hors_grammaire	323	11	106	4.0	29	10	26	6	2	27	33	14	106	16	54
4	3	(hors grammaire)	hors_grammaire	318	10	302	33.6	1	2	3	1	1	1	3	1	0	302	3
11	1	managed-objective-color-component	non_porte	305	8	213	5.7	0	0	1	3	1	3	213	51	17	16	0
11	20	managed-objective-sub-objective-entities-component	non_porte	303	8	109	10.0	0	0	3	10	3	3	109	28	84	63	0
47	16	(hors grammaire)	hors_grammaire	301	11	75	3.9	19	30	16	27	12	18	26	31	75	27	20
11	16	managed-objective-sub-objective-entities-component	non_porte	298	7	227	3.0	0	0	1	1	0	3	227	17	27	22	0
11	36	(hors grammaire)	hors_grammaire	295	8	127	6.8	0	0	5	6	2	1	127	37	85	32	0
47	17	(hors grammaire)	hors_grammaire	295	11	77	3.7	8	14	29	22	7	12	77	34	50	26	16
11	52	(hors grammaire)	hors_grammaire	286	7	147	5.6	0	0	2	5	0	2	147	29	70	31	0
47	3	(hors grammaire)	hors_grammaire	284	11	115	4.9	9	13	12	26	8	8	13	29	115	34	17
47	43	(hors grammaire)	hors_grammaire	281	10	123	3.3	7	4	13	29	0	10	65	19	123	2	9
47	48	(hors grammaire)	hors_grammaire	272	11	60	3.2	11	6	6	37	5	29	60	57	32	11	18
47	26	(hors grammaire)	hors_grammaire	258	11	67	2.1	8	14	36	34	5	15	24	32	67	15	8
47	58	(hors grammaire)	hors_grammaire	258	11	49	3.8	42	36	49	15	5	1	28	17	49	7	9
11	2	managed-objective-formatted-text-component	non_porte	257	6	184	2.9	0	0	5	0	0	1	184	26	20	21	0
47	5	(hors grammaire)	hors_grammaire	255	11	100	7.4	10	4	11	29	9	11	32	13	29	7	100
47	13	(hors grammaire)	hors_grammaire	254	11	68	2.6	14	13	37	10	6	12	68	13	56	5	20
4	5	(hors grammaire)	hors_grammaire	250	10	51	22.5	36	14	51	45	5	7	40	0	13	26	13
47	59	(hors grammaire)	hors_grammaire	249	11	50	4.5	50	45	14	23	6	20	22	25	31	7	6
11	10	managed-objective-is-new-and-unseen-component	non_porte	238	7	136	6.8	0	0	4	2	0	1	136	12	22	61	0
47	56	(hors grammaire)	hors_grammaire	238	11	78	3.4	5	6	14	78	5	16	39	24	22	7	22
11	9	managed-objective-secondary-formatted-text-component	non_porte	231	6	108	12.0	0	0	7	2	0	0	96	108	10	8	0
47	49	(hors grammaire)	hors_grammaire	228	11	95	7.0	2	10	10	12	2	9	45	9	32	2	95
47	31	(hors grammaire)	hors_grammaire	226	11	81	3.1	7	6	13	34	1	9	81	47	15	7	6
47	32	(hors grammaire)	hors_grammaire	226	11	46	2.6	16	18	26	27	13	13	16	13	46	16	22
47	21	(hors grammaire)	hors_grammaire	224	11	56	4.1	12	13	33	16	7	6	27	14	21	19	56
