bande	i	composant	tag	chunk	paquet	bit_charge	slot	gen	bits_bruts_hex	pay_bits	payload
reelle	8	player-masked-property (i8)	2	11	2190	1933	1538	1	26FB090905DF9F04	0	0	[non chaine]
reelle	8	player-masked-property (i8)	2	13	1380	552	1537	2	29D23C00140E28BE	0	0	[non chaine]
reelle	8	player-masked-property (i8)	4	12	1752	1887	1536	0	400003A0201BF3E0	0	0	[non chaine]
reelle	8	player-masked-property (i8)	5	6	1850	1423	1531	3	589000420C6495A4	0	0	[non chaine]
reelle	8	player-masked-property (i8)	6	6	1730	65	1534	0	6B22052016031A84	0	0	[non chaine]
reelle	8	player-masked-property (i8)	7	22	578	659	1523	0	771391A1681A1515	24	7420186	[non chaine]
reelle	8	player-masked-property (i8)	8	13	194	818	1536	0	88AD2000AAC832F6	32	2329018378	[non chaine]
reelle	8	player-masked-property (i8)	8	14	1468	2584	1536	0	800003A0201BF3E0	32	14850	[non chaine]
reelle	8	player-masked-property (i8)	8	21	1414	1455	1542	1	8AB30616CDD46684	32	2872074604	[non chaine]
reelle	8	player-masked-property (i8)	9	20	336	1084	1538	3	9D90667C282A4D28	32	3641075650	[non chaine]
reelle	8	player-masked-property (i8)	9	23	22	2025	1537	0	9308449072FD545A	32	813975815	[non chaine]
reelle	8	player-masked-property (i8)	9	29	1196	583	1532	1	95F32400108318E9	32	1597128705	[non chaine]
reelle	8	player-masked-property (i8)	10	11	764	149	1538	0	A285BF8416262619	1	0	[non chaine]
reelle	8	player-masked-property (i8)	12	16	1236	998	1537	1	CED842C2342D11D2	4	14	[non chaine]
reelle	8	player-masked-property (i8)	15	8	1006	714	1529	1	F003C4240AFD5204	4	0	[non chaine]
reelle	10	player-masked-property (i10)	0	4	2130	1220	1541	0	0EC96BA2EFFF3582	0	0	[non chaine]
reelle	10	player-masked-property (i10)	0	7	1966	33	1540	1	087E810321E8592C	0	0	[CHAINE]
reelle	10	player-masked-property (i10)	0	8	1140	199	1536	0	00016344268C0059	0	0	[non chaine]
reelle	10	player-masked-property (i10)	1	11	2324	1456	1537	3	116E024C9440842B	0	0	[non chaine]
reelle	10	player-masked-property (i10)	2	26	2058	1731	1521	1	2C84240000B50AE8	0	0	[non chaine]
reelle	10	player-masked-property (i10)	3	3	2278	949	1545	0	300108623BA225AE	0	0	[non chaine]
reelle	10	player-masked-property (i10)	4	18	1230	1168	1538	0	461F049C932531A8	0	0	[non chaine]
reelle	10	player-masked-property (i10)	4	21	740	1074	1529	1	4084240000A25D63	0	0	[non chaine]
reelle	10	player-masked-property (i10)	4	28	880	580	1547	1	4EAE64B2A6351352	0	0	[non chaine]
reelle	10	player-masked-property (i10)	5	16	882	1070	1540	1	53C3105CB899590B	0	0	[non chaine]
reelle	10	player-masked-property (i10)	6	16	1440	36	1545	2	69826094D304C129	0	0	[CHAINE]
reelle	10	player-masked-property (i10)	6	16	1440	67	1545	2	69826094D304C134	0	0	[CHAINE]
reelle	10	player-masked-property (i10)	6	16	1440	98	1545	2	6982609A40000004	0	0	[CHAINE]
reelle	10	player-masked-property (i10)	7	19	738	786	1541	3	72910008CBC72F37	24	2691072	[non chaine]
reelle	10	player-masked-property (i10)	12	10	18	1748	1538	2	CDE91495E6E19F41	4	13	[non chaine]
reelle	10	player-masked-property (i10)	12	10	2178	160	1521	1	C0A12264DDA485AF	4	0	[non chaine]
reelle	10	player-masked-property (i10)	12	24	154	163	1531	2	CC894D1800B20CCB	4	12	[CHAINE]
reelle	10	player-masked-property (i10)	13	15	1294	545	1547	1	D6C52102D7E07A99	4	6	[non chaine]
reelle	10	player-masked-property (i10)	15	15	1432	2224	1542	2	F7A2274000000002	4	7	[non chaine]
reelle	11	player-masked-property (i11)	0	7	1988	33	1540	1	087E810321E8592C	0	0	[CHAINE]
reelle	11	player-masked-property (i11)	0	21	198	1599	1536	0	000003A1512A13C0	0	0	[non chaine]
reelle	11	player-masked-property (i11)	2	3	2330	1950	1520	1	2B999F509E050E00	0	0	[non chaine]
reelle	11	player-masked-property (i11)	2	28	1602	1377	1536	0	200003A0201A03E0	0	0	[non chaine]
reelle	11	player-masked-property (i11)	3	18	448	740	1537	0	338E24CF05DF4480	0	0	[non chaine]
reelle	11	player-masked-property (i11)	4	3	186	485	1540	1	447FE937F4691022	0	0	[non chaine]
reelle	11	player-masked-property (i11)	4	4	2068	1082	1545	2	4BDAAFF9AB920008	0	0	[non chaine]
reelle	11	player-masked-property (i11)	4	25	114	149	1547	3	4900B5920E266399	0	0	[non chaine]
reelle	11	player-masked-property (i11)	5	4	2316	1124	1529	1	5411A3017501DE9A	0	0	[non chaine]
reelle	11	player-masked-property (i11)	5	15	196	1450	1537	0	5A0283C68B00806B	0	0	[non chaine]
reelle	11	player-masked-property (i11)	5	16	2272	1936	1545	2	5C9E1D4E6D032C00	0	0	[non chaine]
reelle	11	player-masked-property (i11)	6	25	104	149	1547	3	6C42321012A663F9	0	0	[non chaine]
reelle	11	player-masked-property (i11)	7	15	1162	149	1546	0	780E000069975683	24	8445952	[non chaine]
reelle	11	player-masked-property (i11)	7	25	124	149	1547	3	7E8139961CA66379	24	15209369	[non chaine]
reelle	11	player-masked-property (i11)	8	15	1236	2789	1542	0	83D390B857A3C520	32	1027148677	[non chaine]
reelle	11	player-masked-property (i11)	8	24	1020	149	1545	1	8C873C0406264689	32	3363029056	[non chaine]
reelle	11	player-masked-property (i11)	9	20	302	3152	1541	0	97775A7B92000841	32	2004199353	[non chaine]
reelle	11	player-masked-property (i11)	10	8	2208	877	1539	0	A39B76CFF5794438	1	0	[non chaine]
reelle	11	player-masked-property (i11)	10	10	326	821	1536	2	A3E17E6A5D1CD3EC	1	0	[non chaine]
reelle	11	player-masked-property (i11)	12	15	1304	149	1547	1	C0C62202C6899846	4	0	[non chaine]
reelle	11	player-masked-property (i11)	12	26	212	2035	1536	0	C00003A0201AFBE0	4	0	[non chaine]
reelle	11	player-masked-property (i11)	13	13	338	744	1541	0	D54F5116A2019064	4	5	[non chaine]
reelle	11	player-masked-property (i11)	13	15	1422	1554	1526	0	DD1EA9000420C666	4	13	[non chaine]
reelle	12	player-masked-property (i12)	0	6	1592	626	1542	2	0000521F3A212460	0	0	[non chaine]
reelle	12	player-masked-property (i12)	0	7	2010	33	1540	1	087E810321E8592C	0	0	[CHAINE]
reelle	12	player-masked-property (i12)	0	22	2220	570	1524	0	0E44512925001155	0	0	[CHAINE]
reelle	12	player-masked-property (i12)	1	8	1138	193	1536	0	16244268C0059060	0	0	[non chaine]
reelle	12	player-masked-property (i12)	1	24	996	149	1546	0	1C443F820B2647A9	0	0	[non chaine]
reelle	12	player-masked-property (i12)	1	24	1458	564	1536	0	16CF7D0F922594A0	0	0	[non chaine]
