ti	i	composant	statut	annonces_fenetre	annonces_hors	secondes_fenetre	secondes_hors	densite_fenetre	densite_hors	rapport	rapport_serre_1s
11	9	managed-objective-secondary-formatted-text-component	non_porte	35	61	350.0	500.9	0.100	0.122	0.82x	0.67x
11	10	managed-objective-is-new-and-unseen-component	non_porte	41	95	350.0	500.9	0.117	0.190	0.62x	0.81x
11	11	managed-objective-is-only-one-item-unlocked-component	non_porte	31	57	350.0	500.9	0.089	0.114	0.78x	0.62x
11	12	managed-objective-progress-component	non_porte	33	97	350.0	500.9	0.094	0.194	0.49x	0.54x
11	13	managed-objective-required-progress-component	non_porte	28	35	350.0	500.9	0.080	0.070	1.14x	0.68x
11	14	managed-objective-state-component	non_porte	27	31	350.0	500.9	0.077	0.062	1.25x	1.26x
11	15	managed-objective-parent-objective-component	non_porte	22	29	350.0	500.9	0.063	0.058	1.09x	1.50x
11	16	managed-objective-sub-objective-entities-component	non_porte	31	196	350.0	500.9	0.089	0.391	0.23x	0.33x
11	17	managed-objective-sub-objective-entities-component	non_porte	29	61	350.0	500.9	0.083	0.122	0.68x	0.55x
11	18	managed-objective-sub-objective-entities-component	non_porte	28	44	350.0	500.9	0.080	0.088	0.91x	1.11x
11	19	managed-objective-sub-objective-entities-component	non_porte	24	33	350.0	500.9	0.069	0.066	1.04x	0.77x
11	20	managed-objective-sub-objective-entities-component	non_porte	50	59	350.0	500.9	0.143	0.118	1.21x	1.18x
11	21	managed-objective-sub-objective-entities-component	non_porte	21	32	350.0	500.9	0.060	0.064	0.94x	0.84x
11	22	managed-objective-sub-objective-entities-component	non_porte	23	30	350.0	500.9	0.066	0.060	1.10x	0.22x
11	23	managed-objective-sub-objective-entities-component	non_porte	28	30	350.0	500.9	0.080	0.060	1.34x	1.04x
11	24	managed-objective-sub-objective-entities-component	non_porte	27	43	350.0	500.9	0.077	0.086	0.90x	0.60x
11	25	managed-objective-sub-objective-entities-component	non_porte	29	43	350.0	500.9	0.083	0.086	0.97x	0.87x
11	26	managed-objective-sub-objective-entities-component	non_porte	32	98	350.0	500.9	0.091	0.196	0.47x	0.27x
11	27	managed-objective-sub-objective-entities-component	non_porte	39	45	350.0	500.9	0.111	0.090	1.24x	0.78x
11	28	managed-objective-sub-objective-entities-component	non_porte	20	33	350.0	500.9	0.057	0.066	0.87x	0.94x
11	29	managed-objective-sub-objective-entities-component	non_porte	21	20	350.0	500.9	0.060	0.040	1.50x	0.87x
11	30	managed-objective-sub-objective-entities-component	non_porte	21	28	350.0	500.9	0.060	0.056	1.07x	0.60x
11	31	managed-objective-sub-objective-entities-component	non_porte	42	57	350.0	500.9	0.120	0.114	1.05x	0.64x
11	32	managed-objective-outro-phase-duration-component	non_porte	29	107	350.0	500.9	0.083	0.214	0.39x	0.51x
11	33	managed-objective-forced-update-component	non_porte	9	25	350.0	500.9	0.026	0.050	0.52x	0.22x
11	34	(hors grammaire)	hors_grammaire	18	34	350.0	500.9	0.051	0.068	0.76x	0.56x
11	35	(hors grammaire)	hors_grammaire	22	55	350.0	500.9	0.063	0.110	0.57x	0.73x
11	36	(hors grammaire)	hors_grammaire	51	76	350.0	500.9	0.146	0.152	0.96x	0.59x
11	37	(hors grammaire)	hors_grammaire	18	21	350.0	500.9	0.051	0.042	1.23x	1.08x
11	38	(hors grammaire)	hors_grammaire	43	45	350.0	500.9	0.123	0.090	1.37x	1.35x
11	39	(hors grammaire)	hors_grammaire	22	36	350.0	500.9	0.063	0.072	0.87x	0.58x
11	40	(hors grammaire)	hors_grammaire	31	38	350.0	500.9	0.089	0.076	1.17x	0.84x
11	41	(hors grammaire)	hors_grammaire	17	25	350.0	500.9	0.049	0.050	0.97x	1.12x
11	42	(hors grammaire)	hors_grammaire	35	38	350.0	500.9	0.100	0.076	1.32x	0.78x
11	43	(hors grammaire)	hors_grammaire	43	44	350.0	500.9	0.123	0.088	1.40x	1.01x
11	44	(hors grammaire)	hors_grammaire	33	73	350.0	500.9	0.094	0.146	0.65x	0.37x
11	45	(hors grammaire)	hors_grammaire	21	22	350.0	500.9	0.060	0.044	1.37x	1.56x
