ti	i	composant	statut	annonces_fenetre	annonces_hors	secondes_fenetre	secondes_hors	densite_fenetre	densite_hors	rapport	rapport_serre_1s
47	45	(hors grammaire)	hors_grammaire	1	4	249.0	359.2	0.004	0.011	0.36x	0.00x
47	46	(hors grammaire)	hors_grammaire	5	8	249.0	359.2	0.020	0.022	0.90x	0.00x
47	47	(hors grammaire)	hors_grammaire	3	8	249.0	359.2	0.012	0.022	0.54x	0.55x
47	48	(hors grammaire)	hors_grammaire	2	9	249.0	359.2	0.008	0.025	0.32x	0.55x
47	49	(hors grammaire)	hors_grammaire	0	2	249.0	359.2	0.000	0.006	0.00x	0.00x
47	50	(hors grammaire)	hors_grammaire	4	5	249.0	359.2	0.016	0.014	1.15x	1.56x
47	51	(hors grammaire)	hors_grammaire	2	5	249.0	359.2	0.008	0.014	0.58x	0.91x
47	52	(hors grammaire)	hors_grammaire	31	36	249.0	359.2	0.124	0.100	1.24x	1.07x
47	53	(hors grammaire)	hors_grammaire	11	5	249.0	359.2	0.044	0.014	3.17x	2.49x
47	54	(hors grammaire)	hors_grammaire	1	6	249.0	359.2	0.004	0.017	0.24x	0.00x
47	55	(hors grammaire)	hors_grammaire	3	4	249.0	359.2	0.012	0.011	1.08x	2.19x
47	56	(hors grammaire)	hors_grammaire	1	4	249.0	359.2	0.004	0.011	0.36x	1.37x
47	57	(hors grammaire)	hors_grammaire	1	3	249.0	359.2	0.004	0.008	0.48x	0.00x
47	58	(hors grammaire)	hors_grammaire	2	40	249.0	359.2	0.008	0.111	0.07x	0.00x
47	59	(hors grammaire)	hors_grammaire	46	4	249.0	359.2	0.185	0.011	16.59x	17.32x
47	60	(hors grammaire)	hors_grammaire	4	4	249.0	359.2	0.016	0.011	1.44x	0.78x
47	61	(hors grammaire)	hors_grammaire	1	1	249.0	359.2	0.004	0.003	1.44x	5.47x
47	62	(hors grammaire)	hors_grammaire	6	4	249.0	359.2	0.024	0.011	2.16x	2.34x
47	63	(hors grammaire)	hors_grammaire	4	2	249.0	359.2	0.016	0.006	2.88x	10.94x
4	0	high-frequency	porte	14617	20914	249.0	359.2	58.697	58.231	1.01x	1.01x
4	1	(hors grammaire)	hors_grammaire	0	1	249.0	359.2	0.000	0.003	0.00x	0.00x
4	2	(hors grammaire)	hors_grammaire	4	2	249.0	359.2	0.016	0.006	2.88x	1.09x
