film	xuid	avant_k	avant_d	avant_a	apres_k	apres_d	apres_a	feuille_k	feuille_d	feuille_a	bouge	avant_exact	apres_exact
5dfdc63b	2580187286516762	12	12	5	12	12	5	12	12	5	false	true	true
5dfdc63b	bid(53.0)	2	4	1	2	4	1	2	4	1	false	true	true
606d9844	2533274823110022	2	8	1	2	8	1	2	8	1	false	true	true
606d9844	2533274835138874	1	5	0	1	5	0	1	5	0	false	true	true
606d9844	2533274864142980	2	2	2	2	2	2	2	2	2	false	true	true
606d9844	2533274897620970	2	6	0	2	6	0	2	6	0	false	true	true
606d9844	2533275031831732	9	1	2	9	1	2	9	1	2	false	true	true
606d9844	2535449018082899	3	7	0	3	7	0	3	7	0	false	true	true
606d9844	2535472156173951	11	2	3	11	2	3	11	2	3	false	true	true
606d9844	2535472834247640	5	4	2	5	4	2	5	4	2	false	true	true
64e8adfa	2533274792763167	18	12	5	18	12	5	18	12	5	false	true	true
64e8adfa	2533274808613055	15	15	9	15	15	9	15	15	9	false	true	true
64e8adfa	2533274823110022	20	16	1	20	16	1	20	16	1	false	true	true
64e8adfa	2535413221816250	10	21	7	10	21	7	10	21	7	false	true	true
64e8adfa	2535449464686885	9	19	4	9	19	4	9	19	4	false	true	true
64e8adfa	2535449963449748	17	12	10	17	12	10	17	12	10	false	true	true
64e8adfa	2535456378021162	24	9	4	24	9	4	24	9	4	false	true	true
64e8adfa	2535465820713037	8	19	3	8	19	3	8	19	3	false	true	true
72b0a25e	2533274823110022	17	7	4	17	7	4	17	7	4	false	true	true
72b0a25e	2533274858283686	16	7	5	16	7	5	16	7	5	false	true	true
72b0a25e	2533274869302165	3	12	4	3	12	4	3	12	4	false	true	true
72b0a25e	2533274960310219	12	15	4	12	15	4	12	15	4	false	true	true
72b0a25e	2533274972948540	10	14	1	10	14	1	10	14	1	false	true	true
72b0a25e	2533275020774375	6	9	5	6	9	5	6	9	5	false	true	true
72b0a25e	2535429657451692	4	8	4	4	8	4	4	8	4	false	true	true
72b0a25e	2535469190789936	13	9	5	13	9	5	13	9	5	false	true	true
7b0d89c4	2533274794363089	10	13	3	10	13	3	10	13	3	false	true	true
7b0d89c4	2533274823110022	8	14	2	8	14	2	8	14	2	false	true	true
7b0d89c4	2533274846740442	12	15	6	12	15	6	12	15	6	false	true	true
7b0d89c4	2533274858283686	16	11	5	16	11	5	16	11	5	false	true	true
7b0d89c4	2535412837851983	9	9	5	9	9	5	9	9	5	false	true	true
7b0d89c4	2535440069338941	13	13	12	13	13	12	13	13	12	false	true	true
7b0d89c4	2535443530920491	19	7	1	19	7	1	19	7	1	false	true	true
7b0d89c4	2535469190789936	7	12	3	7	12	3	7	12	3	false	true	true
7f1bbf06	2533274811165209	8	5	9	8	5	9	8	5	9	false	true	true
7f1bbf06	2533274823110022	6	9	5	6	9	5	6	9	5	false	true	true
7f1bbf06	2533274853201323	5	9	2	5	9	2	5	9	2	false	true	true
7f1bbf06	2533274933911910	4	9	5	4	9	5	4	9	5	false	true	true
7f1bbf06	2533274952587369	8	10	3	8	10	3	8	10	3	false	true	true
7f1bbf06	2535454710220286	8	7	6	8	7	6	8	7	6	false	true	true
7f1bbf06	2535454909563916	10	4	4	10	4	4	10	4	4	false	true	true
7f1bbf06	2683394777983413	11	7	3	11	7	3	11	7	3	false	true	true
7fce3219	2533274823110022	13	25	8	13	25	8	13	25	8	false	true	true
7fce3219	2533274858283686	23	20	11	23	20	11	23	20	11	false	true	true
7fce3219	2533274943116584	27	17	9	27	17	9	27	17	9	false	true	true
7fce3219	2533274955626571	25	21	12	25	21	12	25	21	12	false	true	true
7fce3219	2535415254450151	10	20	8	10	20	8	10	20	8	false	true	true
7fce3219	2535458465148583	25	24	5	25	24	5	25	24	5	false	true	true
7fce3219	2535469190789936	20	21	7	20	21	7	20	21	7	false	true	true
7fce3219	2654577101798078	26	21	10	26	21	10	26	21	10	false	true	true
8076f97f	2533274823110022	7	7	4	7	7	4	7	7	4	false	true	true
8076f97f	2533274857387572	6	7	4	6	7	4	6	7	4	false	true	true
8076f97f	2533274858283686	12	8	7	12	8	7	12	8	7	false	true	true
8076f97f	2533275004520376	10	11	7	10	11	7	10	11	7	false	true	true
8076f97f	2535407066740278	9	10	2	9	10	2	9	10	2	false	true	true
8076f97f	2535435974688461	6	10	6	6	10	6	6	10	6	false	true	true
8076f97f	2535456259091650	13	7	5	13	7	5	13	7	5	false	true	true
8076f97f	2541316932603141	6	9	6	6	9	6	6	9	6	false	true	true
81c02726	2533274810173379	9	3	4	9	3	4	9	3	4	false	true	true
81c02726	2533274823110022	4	8	3	4	8	3	4	8	3	false	true	true
81c02726	2533274833178266	1	7	1	1	7	1	1	7	1	false	true	true
81c02726	2533274846254457	6	2	0	6	2	0	6	2	0	false	true	true
81c02726	2533274858283686	6	8	2	6	8	2	6	8	2	false	true	true
81c02726	2535427240092988	11	2	2	11	2	2	11	2	2	false	true	true
81c02726	2535464918561629	3	7	2	3	7	2	3	7	2	false	true	true
81c02726	2535469190789936	3	6	0	3	6	0	3	6	0	false	true	true
879a4dba	2533274817737470	4	7	2	4	7	2	4	7	2	false	true	true
879a4dba	2533274920570623	5	3	1	5	3	1	5	3	1	false	true	true
879a4dba	2533274964038601	23	6	3	23	6	3	23	6	3	false	true	true
879a4dba	2533274965326253	6	5	0	6	5	0	6	5	0	false	true	true
879a4dba	2535443641007500	1	8	2	1	8	2	1	8	2	false	true	true
879a4dba	2535457217346540	7	6	4	7	6	4	7	6	4	false	true	true
879a4dba	2535462209962245	5	6	3	5	6	3	5	6	3	false	true	true
8a485699	2533274823110022	11	11	2	11	11	2	11	11	2	false	true	true
8a485699	2533274839545349	13	8	0	13	8	0	13	8	0	false	true	true
8a485699	2533274906880039	6	14	6	6	14	6	6	14	6	false	true	true
8a485699	2535427964841359	10	17	2	10	17	2	10	17	2	false	true	true
