film	famille	mode	action	xuid	gamertag	publie	oracle_feuille	ecart	depasse_oracle	max_pas
a0c36016	CTF	CTF:Arena	kills	2535425652517893		16	16	0	false	1
a0c36016	CTF	CTF:Arena	kills	2535427927026623		26	26	0	false	2
a0c36016	CTF	CTF:Arena	kills	2535448372866366		17	17	0	false	1
a0c36016	CTF	CTF:Arena	kills	2535456861208728		22	22	0	false	1
a0c36016	CTF	CTF:Arena	kills	2535469190789936		15	15	0	false	1
a0c36016	CTF	CTF:Arena	assists	2533274823110022	JGtm	6	6	0	false	1
a0c36016	CTF	CTF:Arena	assists	2533274858283686		4	4	0	false	1
a0c36016	CTF	CTF:Arena	assists	2533274858911298		4	4	0	false	1
a0c36016	CTF	CTF:Arena	assists	2535425652517893		9	9	0	false	1
a0c36016	CTF	CTF:Arena	assists	2535427927026623		12	12	0	false	1
a0c36016	CTF	CTF:Arena	assists	2535448372866366		9	9	0	false	1
a0c36016	CTF	CTF:Arena	assists	2535456861208728		8	8	0	false	1
a0c36016	CTF	CTF:Arena	assists	2535469190789936		9	9	0	false	1
b8a44fe8	CTF	CTF:Arena	kills	2533274823110022		25	25	0	false	1
b8a44fe8	CTF	CTF:Arena	kills	2533274858283686		12	12	0	false	1
b8a44fe8	CTF	CTF:Arena	kills	2533274858911298		9	9	0	false	1
b8a44fe8	CTF	CTF:Arena	kills	2533274897257135		9	9	0	false	1
b8a44fe8	CTF	CTF:Arena	kills	2533275027826442		21	21	0	false	1
b8a44fe8	CTF	CTF:Arena	kills	2535442462807197		17	17	0	false	1
b8a44fe8	CTF	CTF:Arena	kills	2535455799302553		20	20	0	false	1
b8a44fe8	CTF	CTF:Arena	kills	2535469190789936	Chocoboflor	11	11	0	false	1
b8a44fe8	CTF	CTF:Arena	assists	2533274823110022		5	5	0	false	1
b8a44fe8	CTF	CTF:Arena	assists	2533274858283686		4	4	0	false	1
b8a44fe8	CTF	CTF:Arena	assists	2533274858911298		6	6	0	false	1
b8a44fe8	CTF	CTF:Arena	assists	2533274897257135		5	5	0	false	1
b8a44fe8	CTF	CTF:Arena	assists	2533275027826442		7	7	0	false	1
b8a44fe8	CTF	CTF:Arena	assists	2535442462807197		5	5	0	false	1
b8a44fe8	CTF	CTF:Arena	assists	2535455799302553		2	2	0	false	1
b8a44fe8	CTF	CTF:Arena	assists	2535469190789936	Chocoboflor	10	10	0	false	1
bc60b4d9	CTF	CTF:Arena	kills	2533274823110022	JGtm	10	10	0	false	1
bc60b4d9	CTF	CTF:Arena	kills	2533274858283686		11	11	0	false	1
bc60b4d9	CTF	CTF:Arena	kills	2533274897645479		13	13	0	false	2
bc60b4d9	CTF	CTF:Arena	kills	2533274924336100		5	5	0	false	1
bc60b4d9	CTF	CTF:Arena	kills	2533274943116584		9	9	0	false	1
bc60b4d9	CTF	CTF:Arena	kills	2535458465148583		11	11	0	false	1
bc60b4d9	CTF	CTF:Arena	kills	2535469190789936		9	9	0	false	1
bc60b4d9	CTF	CTF:Arena	kills	2654577101798078		13	13	0	false	1
bc60b4d9	CTF	CTF:Arena	assists	2533274823110022	JGtm	2	2	0	false	1
bc60b4d9	CTF	CTF:Arena	assists	2533274858283686		8	8	0	false	1
bc60b4d9	CTF	CTF:Arena	assists	2533274897645479		1	1	0	false	1
bc60b4d9	CTF	CTF:Arena	assists	2533274924336100		6	6	0	false	1
bc60b4d9	CTF	CTF:Arena	assists	2533274943116584		4	4	0	false	1
bc60b4d9	CTF	CTF:Arena	assists	2535458465148583		4	4	0	false	1
bc60b4d9	CTF	CTF:Arena	assists	2535469190789936		7	7	0	false	1
bc60b4d9	CTF	CTF:Arena	assists	2654577101798078		3	3	0	false	1
bf5ced1b	CTF	CTF:Arena	kills	2533274823110022	JGtm	0	0	0	false	0
bf5ced1b	CTF	CTF:Arena	kills	2533274858283686		3	3	0	false	1
bf5ced1b	CTF	CTF:Arena	kills	2535412865870758		3	3	0	false	1
bf5ced1b	CTF	CTF:Arena	kills	2535415855124749		2	2	0	false	1
bf5ced1b	CTF	CTF:Arena	kills	2535434888128184		8	8	0	false	1
bf5ced1b	CTF	CTF:Arena	kills	2535459651975585		2	2	0	false	1
bf5ced1b	CTF	CTF:Arena	kills	2535469190789936		3	3	0	false	1
bf5ced1b	CTF	CTF:Arena	kills	2535472614974408		5	5	0	false	1
bf5ced1b	CTF	CTF:Arena	kills	bid(30.0)		0	0	0	false	0
bf5ced1b	CTF	CTF:Arena	assists	2533274823110022	JGtm	3	3	0	false	1
bf5ced1b	CTF	CTF:Arena	assists	2533274858283686		0	0	0	false	0
bf5ced1b	CTF	CTF:Arena	assists	2535412865870758		2	2	0	false	1
bf5ced1b	CTF	CTF:Arena	assists	2535415855124749		0	0	0	false	0
bf5ced1b	CTF	CTF:Arena	assists	2535434888128184		1	1	0	false	1
bf5ced1b	CTF	CTF:Arena	assists	2535459651975585		4	4	0	false	1
bf5ced1b	CTF	CTF:Arena	assists	2535469190789936		0	0	0	false	0
bf5ced1b	CTF	CTF:Arena	assists	2535472614974408		1	1	0	false	1
bf5ced1b	CTF	CTF:Arena	assists	bid(30.0)		0	0	0	false	0
cde26226	CTF	CTF:Arena	kills	2533274817658307		14	14	0	false	2
cde26226	CTF	CTF:Arena	kills	2533274818074729		10	10	0	false	1
cde26226	CTF	CTF:Arena	kills	2533274823110022	JGtm	21	21	0	false	1
cde26226	CTF	CTF:Arena	kills	2533274849050722		22	22	0	false	1
cde26226	CTF	CTF:Arena	kills	2533274858283686		26	26	0	false	1
cde26226	CTF	CTF:Arena	kills	2535415492484355		24	24	0	false	1
cde26226	CTF	CTF:Arena	kills	2535468122262494		28	28	0	false	1
cde26226	CTF	CTF:Arena	kills	2535469190789936		18	18	0	false	1
cde26226	CTF	CTF:Arena	assists	2533274817658307		7	7	0	false	1
cde26226	CTF	CTF:Arena	assists	2533274818074729		12	12	0	false	1
cde26226	CTF	CTF:Arena	assists	2533274823110022	JGtm	6	6	0	false	1
cde26226	CTF	CTF:Arena	assists	2533274849050722		8	8	0	false	1
cde26226	CTF	CTF:Arena	assists	2533274858283686		15	15	0	false	1
cde26226	CTF	CTF:Arena	assists	2535415492484355		10	10	0	false	1
cde26226	CTF	CTF:Arena	assists	2535468122262494		3	3	0	false	1
cde26226	CTF	CTF:Arena	assists	2535469190789936		7	7	0	false	1
f8efc5ca	CTF	CTF:Arena	kills	2533274804730586		7	7	0	false	1
f8efc5ca	CTF	CTF:Arena	kills	2533274811578968		10	10	0	false	1
f8efc5ca	CTF	CTF:Arena	kills	2533274823110022		12	12	0	false	1
f8efc5ca	CTF	CTF:Arena	kills	2533274833178266	XxDaemonGamerxX	4	4	0	false	1
f8efc5ca	CTF	CTF:Arena	kills	2533274858283686		14	14	0	false	1
f8efc5ca	CTF	CTF:Arena	kills	2535458336606528		17	17	0	false	2
f8efc5ca	CTF	CTF:Arena	kills	2535467632752562		10	10	0	false	1
