metaext	10ed320d	Strongholds:Arena	174	169	620	1230	19	1211	0	59	26214	618253	1141
forme_gen	1	1230
serieh	8	385270	87	0	0
serieh	8	386271	88	0	0
serieh	8	387272	89	0	0
serieh	8	388273	90	0	0
serieh	8	389274	91	0	0
serieh	8	390275	92	0	0
serieh	8	391277	93	0	0
serieh	8	392277	94	0	0
serieh	8	393279	95	0	0
serieh	8	394286	96	0	0
serieh	8	395285	97	0	0
serieh	8	396286	98	0	0
serieh	8	397287	100	0	0
serieh	8	398288	101	0	0
serieh	8	399289	102	0	0
serieh	8	400290	103	0	0
serieh	8	401291	104	0	0
serieh	8	402292	105	0	0
serieh	8	403293	106	0	0
serieh	8	404293	107	0	0
serieh	8	405294	108	0	0
serieh	8	406296	109	0	0
serieh	8	407298	110	0	0
serieh	8	408299	111	0	0
serieh	8	409300	112	0	0
serieh	8	447547	113	0	0
serieh	8	450065	114	0	0
serieh	8	454988	115	0	0
serieh	8	455989	116	0	0
serieh	8	456990	117	0	0
serieh	8	457990	118	0	0
serieh	8	458992	119	0	0
serieh	8	459993	120	0	0
serieh	8	460994	121	0	0
serieh	8	461995	122	0	0
serieh	8	463000	123	0	0
serieh	8	464005	124	0	0
serieh	8	465003	125	0	0
serieh	8	466004	126	0	0
serieh	8	467005	127	0	0
serieh	8	468006	128	0	0
serieh	8	469007	129	0	0
serieh	8	470008	130	0	0
serieh	8	471009	131	0	0
serieh	8	472009	132	0	0
serieh	8	473011	133	0	0
serieh	8	474013	134	0	0
serieh	8	475013	135	0	0
serieh	8	476015	136	0	0
serieh	8	477015	137	0	0
serieh	8	481138	138	0	0
serieh	8	482139	139	0	0
serieh	8	483140	140	0	0
serieh	8	484141	141	0	0
serieh	8	485142	142	0	0
serieh	8	486143	143	0	0
serieh	8	487145	144	0	0
serieh	8	488145	145	0	0
serieh	8	490298	146	0	0
serieh	8	491299	147	0	0
serieh	8	492300	148	0	0
serieh	8	493301	149	0	0
serieh	8	494303	150	0	0
serieh	8	495303	151	0	0
serieh	8	496305	152	0	0
serieh	8	497306	153	0	0
serieh	8	498307	154	0	0
serieh	8	499311	155	0	0
serieh	8	500309	156	0	0
serieh	8	501309	157	0	0
serieh	8	502311	158	0	0
serieh	8	518543	159	0	0
serieh	8	519544	160	0	0
serieh	8	520545	161	0	0
serieh	8	521547	162	0	0
serieh	8	522548	163	0	0
serieh	8	523549	164	0	0
serieh	8	524550	165	0	0
serieh	8	549475	166	0	0
serieh	8	550478	167	0	0
serieh	8	551478	168	0	0
serieh	8	552479	169	0	0
serieh	8	596948	170	0	0
