metaext	24dbb67d	Ranked:Oddball	200	121	519	7341	49	7292	0	373	34212	518050	1196
forme_gen	1	7341
serieh	6	226469	59	0	0
serieh	6	227470	60	0	0
serieh	6	228471	61	0	0
serieh	6	229472	62	0	0
serieh	6	230473	63	0	0
serieh	6	231474	64	0	0
serieh	6	232476	65	0	0
serieh	6	233477	66	0	0
serieh	6	234477	67	0	0
serieh	6	235479	68	0	0
serieh	6	236479	69	0	0
serieh	6	237480	70	0	0
serieh	6	238481	71	0	0
serieh	6	239482	72	0	0
serieh	6	240484	73	0	0
serieh	6	241485	74	0	0
serieh	6	242486	75	0	0
serieh	6	243487	76	0	0
serieh	6	244488	77	0	0
serieh	6	245489	78	0	0
serieh	6	246490	79	0	0
serieh	6	247491	80	0	0
serieh	6	248492	81	0	0
serieh	6	255032	82	0	0
serieh	6	256033	83	0	0
serieh	6	257034	84	0	0
serieh	6	258035	85	0	0
serieh	6	259036	86	0	0
serieh	6	260039	87	0	0
serieh	6	261035	88	0	0
serieh	6	262036	89	0	0
serieh	6	263037	90	0	0
serieh	6	264039	91	0	0
serieh	6	265040	92	0	0
serieh	6	277151	93	0	0
serieh	6	278152	94	0	0
serieh	6	279154	95	0	0
serieh	6	286680	96	0	0
serieh	6	287681	97	0	0
serieh	6	288682	98	0	0
serieh	6	289683	99	0	0
serieh	6	290683	100	0	0
serieh	6	348961	1	1	1
serieh	6	349962	2	1	1
serieh	6	353583	3	1	1
serieh	6	354584	4	1	1
serieh	6	355585	5	1	1
serieh	6	356586	6	1	1
serieh	6	357587	7	1	1
serieh	6	358588	8	1	1
serieh	6	362609	9	1	1
serieh	6	363610	10	1	1
serieh	6	364611	11	1	1
serieh	6	365612	12	1	1
serieh	6	366613	13	1	1
serieh	6	367614	14	1	1
serieh	6	368615	15	1	1
serieh	6	369616	16	1	1
serieh	6	370617	17	1	1
serieh	6	374905	18	1	1
serieh	6	411758	19	1	1
serieh	6	412759	20	1	1
serieh	6	413760	21	1	1
serieh	6	414761	22	1	1
serieh	6	415763	23	1	1
serieh	6	416764	24	1	1
serieh	6	417765	25	1	1
